,step,system_mean_speed,system_total_stopped,system_total_waiting_time,system_mean_waiting_time
0,5.0,12.404022497361813,0,0.0,0.0
1,10.0,12.715756468579707,0,0.0,0.0
2,15.0,13.04369278693928,0,0.0,0.0
3,20.0,13.146122946903605,0,0.0,0.0
4,25.0,13.39724832414567,0,0.0,0.0
5,30.0,12.988927034655498,0,0.0,0.0
6,35.0,13.129747616029299,0,0.0,0.0
7,40.0,13.124798746228675,0,0.0,0.0
8,45.0,13.016251426284386,0,0.0,0.0
9,50.0,13.047043892128983,0,0.0,0.0
10,55.0,12.100979438234063,0,0.0,0.0
11,60.0,10.769115148756015,3,11.0,0.3055555555555556
12,65.0,10.010129677178329,7,45.0,1.25
13,70.0,10.023284918358293,6,62.0,1.7222222222222223
14,75.0,10.917167008915134,7,96.0,2.0
15,80.0,10.952887800918177,3,53.0,1.1041666666666667
16,85.0,10.569887619559555,6,74.0,1.5416666666666667
17,90.0,10.412124446844304,7,83.0,1.7291666666666667
18,95.0,10.88208975389938,7,118.0,2.4583333333333335
19,100.0,11.306286175648346,7,153.0,2.55
20,105.0,10.651611500027759,5,61.0,1.0166666666666666
21,110.0,11.25490822381433,7,92.0,1.5593220338983051
22,115.0,11.238349351647912,5,95.0,1.6101694915254237
23,120.0,11.602115161431467,6,123.0,2.1206896551724137
24,125.0,11.63365575127174,6,153.0,2.1857142857142855
25,130.0,11.049329827171373,9,191.0,2.7681159420289854
26,135.0,10.813002313551424,6,69.0,1.078125
27,140.0,11.024378362073964,7,103.0,1.609375
28,145.0,11.889219101018233,3,41.0,0.5694444444444444
29,150.0,11.761880897132926,4,60.0,0.8450704225352113
30,155.0,11.317992949560027,7,87.0,1.2794117647058822
31,160.0,11.041017498688056,9,127.0,1.984375
32,165.0,10.910552418206546,10,177.0,2.8548387096774195
33,170.0,11.26473750050338,8,199.0,2.763888888888889
34,175.0,10.93266201333656,8,239.0,3.3661971830985915
35,180.0,10.40537057602485,13,296.0,4.352941176470588
36,185.0,9.869685563573178,15,368.0,5.575757575757576
37,190.0,9.883076563425009,16,446.0,6.861538461538461
38,195.0,9.789299035260273,16,526.0,7.408450704225352
39,200.0,9.547226584152334,11,334.0,4.771428571428571
40,205.0,9.550973561656322,17,404.0,5.9411764705882355
41,210.0,9.873466408463042,7,69.0,1.0454545454545454
42,215.0,11.318641893779358,6,85.0,1.3934426229508197
43,220.0,11.7934402076564,5,81.0,1.1095890410958904
44,225.0,11.30318709479897,8,109.0,1.4931506849315068
45,230.0,10.743044994409077,7,54.0,0.7605633802816901
46,235.0,11.08201378266517,9,99.0,1.5
47,240.0,11.103991453827048,7,89.0,1.3484848484848484
48,245.0,11.276591037689853,10,134.0,1.7402597402597402
49,250.0,11.076820995775417,6,62.0,0.8266666666666667
50,255.0,11.373861263039014,9,100.0,1.3513513513513513
51,260.0,11.774832383102067,4,37.0,0.5138888888888888
52,265.0,12.368297138552593,4,57.0,0.7215189873417721
53,270.0,11.680759377120218,5,80.0,1.0810810810810811
54,275.0,11.374639642467171,8,114.0,1.6521739130434783
55,280.0,10.76743390564201,10,157.0,2.4153846153846152
56,285.0,10.842785736429613,8,149.0,2.292307692307692
57,290.0,11.069090289632294,9,194.0,2.5866666666666664
