,step,system_mean_speed,system_total_stopped,system_total_waiting_time,system_mean_waiting_time
0,5.0,13.668366760625254,0,0.0,0.0
1,10.0,13.169592661537733,0,0.0,0.0
2,15.0,13.457488056940763,0,0.0,0.0
3,20.0,13.287645896598967,0,0.0,0.0
4,25.0,13.713469703571084,0,0.0,0.0
5,30.0,13.461072956968657,0,0.0,0.0
6,35.0,13.528008042604688,0,0.0,0.0
7,40.0,13.315663567580154,0,0.0,0.0
8,45.0,13.21197203185963,0,0.0,0.0
9,50.0,13.16536786771888,0,0.0,0.0
10,55.0,12.408674193446705,0,0.0,0.0
11,60.0,10.922489665516478,3,10.0,0.2777777777777778
12,65.0,10.67059922593226,7,40.0,1.1111111111111112
13,70.0,10.800603658283103,4,38.0,1.0555555555555556
14,75.0,11.245944564386294,5,59.0,1.2291666666666667
15,80.0,10.529499988771127,7,90.0,1.875
16,85.0,10.292653143608169,10,134.0,2.7916666666666665
17,90.0,10.192125181646752,6,85.0,1.7708333333333333
18,95.0,10.652956051252364,9,124.0,2.5833333333333335
19,100.0,11.206068117549101,5,52.0,0.8813559322033898
20,105.0,11.059741955756362,7,84.0,1.423728813559322
21,110.0,10.436004227877612,12,131.0,2.2203389830508473
22,115.0,10.363552136248073,10,151.0,2.603448275862069
23,120.0,10.072708709931609,13,207.0,3.6964285714285716
24,125.0,10.512105357827734,6,59.0,0.8805970149253731
25,130.0,10.485332156372404,9,98.0,1.4848484848484849
26,135.0,10.46450232451237,12,157.0,2.453125
27,140.0,10.80589389180941,9,169.0,2.6825396825396823
28,145.0,10.862260221708173,10,215.0,2.9452054794520546
29,150.0,10.639708641656917,11,232.0,3.267605633802817
30,155.0,10.303279419033359,11,287.0,4.159420289855072
31,160.0,9.50246052921783,16,361.0,5.46969696969697
32,165.0,9.517053756157047,17,444.0,6.8307692307692305
33,170.0,9.997645849903664,17,529.0,6.87012987012987
34,175.0,9.389209919376533,18,615.0,8.31081081081081
35,180.0,8.90633828510422,22,713.0,9.902777777777779
36,185.0,8.24051672517258,23,824.0,11.771428571428572
37,190.0,8.38354353828369,18,757.0,11.298507462686567
38,195.0,9.514541457808477,18,847.0,11.445945945945946
39,200.0,9.152576264302043,19,939.0,13.041666666666666
40,205.0,8.465534326564734,22,1043.0,14.48611111111111
41,210.0,8.413044026422973,21,1135.0,16.44927536231884
42,215.0,8.557163373247795,22,1243.0,18.279411764705884
43,220.0,8.986145611384249,23,1356.0,17.164556962025316
44,225.0,8.61947001751718,21,1346.0,17.48051948051948
45,230.0,8.607913351214977,24,1458.0,18.935064935064936
46,235.0,8.55704057289834,25,1577.0,21.026666666666667
47,240.0,8.269996367101834,25,1702.0,22.69333333333333
48,245.0,9.34576363995941,12,468.0,5.379310344827586
49,250.0,10.693582472904772,3,44.0,0.5238095238095238
50,255.0,9.994183422295963,6,11.0,0.1375
51,260.0,9.853556045309576,17,78.0,0.9873417721518988
52,265.0,10.55571641075372,14,120.0,1.348314606741573
53,270.0,10.514025011006144,14,190.0,2.261904761904762
54,275.0,10.192166474256105,15,265.0,3.1927710843373496
55,280.0,9.766264934430058,17,337.0,4.0602409638554215
56,285.0,9.648078558880355,20,433.0,5.4125
57,290.0,10.134218242968451,16,444.0,5.045454545454546
58,295.0,10.189763480256545,18,530.0,6.091954022988506
59,300.0,9.51893454781992,21,625.0,7.267441860465116
60,305.0,8.686518346068603,25,741.0,9.036585365853659
61,310.0,8.3329715139052,26,871.0,11.311688311688311
62,315.0,8.77119628938054,22,888.0,10.571428571428571
63,320.0,8.647489387335266,24,1003.0,12.5375
64,325.0,8.926561730812313,15,504.0,6.8108108108108105
65,330.0,10.192579194636636,6,86.0,1.1944444444444444
66,335.0,10.524627455436598,7,119.0,1.676056338028169
67,340.0,10.702362734404844,6,58.0,0.7160493827160493
68,345.0,10.37280688404261,12,111.0,1.3703703703703705
69,350.0,9.903251354556016,18,190.0,2.345679012345679
70,355.0,9.800827182938235,19,285.0,3.607594936708861
71,360.0,9.789243023906087,15,267.0,3.423076923076923
72,365.0,10.111929798933652,17,347.0,3.898876404494382
73,370.0,10.372667693223576,11,222.0,2.5517241379310347
74,375.0,10.870374567231888,10,221.0,2.6
75,380.0,10.801741955733137,10,220.0,2.75
76,385.0,11.343823079170873,12,278.0,3.1954022988505746
77,390.0,11.011523248857662,10,308.0,3.8987341772151898
78,395.0,10.954621773338781,12,366.0,4.815789473684211
79,400.0,10.716187450250086,8,339.0,4.6438356164383565
80,405.0,11.0913469750533,9,383.0,5.394366197183099
81,410.0,11.587665347524112,5,50.0,0.6097560975609756
82,415.0,11.825542780658592,4,49.0,0.6125
83,420.0,11.250286496741218,6,35.0,0.4666666666666667
84,425.0,11.167412836810305,10,79.0,1.1285714285714286
85,430.0,11.050335654284686,7,95.0,1.3970588235294117
86,435.0,11.12543073874778,9,137.0,1.8266666666666667
87,440.0,10.859778576321938,4,67.0,0.9305555555555556
88,445.0,11.111831675004458,9,103.0,1.4305555555555556
