,step,system_mean_speed,system_total_stopped,system_total_waiting_time,system_mean_waiting_time
0,5.0,13.322806102317216,0,0.0,0.0
1,10.0,13.42214978710472,0,0.0,0.0
2,15.0,13.56678719354362,0,0.0,0.0
3,20.0,13.437065418115774,0,0.0,0.0
4,25.0,13.761668169095126,0,0.0,0.0
5,30.0,13.467921042035124,0,0.0,0.0
6,35.0,13.43074699422118,0,0.0,0.0
7,40.0,13.435562432748716,0,0.0,0.0
8,45.0,13.357110538200033,0,0.0,0.0
9,50.0,12.994785176717912,0,0.0,0.0
10,55.0,12.266346842074656,0,0.0,0.0
11,60.0,11.052718654331676,4,9.0,0.25
12,65.0,10.385118360065876,8,38.0,1.0555555555555556
13,70.0,10.828484139001864,6,52.0,1.4444444444444444
14,75.0,11.687196617673237,6,82.0,1.7083333333333333
15,80.0,11.10171681880207,3,38.0,0.7916666666666666
16,85.0,10.621121805156022,6,63.0,1.3125
17,90.0,10.677045956799361,10,109.0,2.2708333333333335
18,95.0,11.097211086719943,6,112.0,2.3333333333333335
19,100.0,11.745115191582306,6,142.0,2.3666666666666667
20,105.0,11.153285356235587,5,134.0,2.2333333333333334
21,110.0,10.257033333228936,11,181.0,3.1206896551724137
22,115.0,10.527251258508223,9,210.0,3.6842105263157894
23,120.0,10.754495320740375,10,258.0,4.607142857142857
24,125.0,10.61443115446848,6,71.0,1.0597014925373134
25,130.0,10.872846284258149,8,107.0,1.621212121212121
26,135.0,10.853255838515803,10,148.0,2.276923076923077
27,140.0,10.985982662207707,10,198.0,3.142857142857143
28,145.0,11.434148836887717,11,251.0,3.486111111111111
29,150.0,11.177982506721685,4,62.0,0.8611111111111112
30,155.0,11.275988977068678,8,94.0,1.3823529411764706
31,160.0,11.525410477417624,7,119.0,1.8307692307692307
32,165.0,11.420225622497888,8,156.0,2.4375
33,170.0,11.860932603014033,7,189.0,2.554054054054054
34,175.0,11.00377121752879,9,228.0,3.211267605633803
35,180.0,10.872060946783927,7,127.0,1.8142857142857143
36,185.0,11.03870059476417,10,168.0,2.4347826086956523
37,190.0,11.285550217285255,7,170.0,2.6984126984126986
38,195.0,11.478226927400978,8,206.0,2.8219178082191783
39,200.0,11.224411021298055,5,36.0,0.5070422535211268
40,205.0,11.321189159243605,7,58.0,0.8405797101449275
41,210.0,11.200004445241975,9,90.0,1.3846153846153846
42,215.0,11.176967944895496,9,135.0,2.25
43,220.0,11.555211902389882,9,180.0,2.5
44,225.0,10.955696432831202,11,228.0,3.211267605633803
45,230.0,10.459916189756443,9,205.0,3.014705882352941
46,235.0,10.479576534465945,13,257.0,3.953846153846154
47,240.0,10.61854961200994,13,322.0,5.193548387096774
48,245.0,10.965758912142528,11,354.0,5.130434782608695
49,250.0,10.397740553289266,13,413.0,6.073529411764706
50,255.0,9.941947227656362,7,46.0,0.7301587301587301
51,260.0,10.91132454860537,8,82.0,1.3898305084745763
52,265.0,11.697802097830513,8,122.0,1.7428571428571429
53,270.0,10.660768522761181,7,97.0,1.3857142857142857
54,275.0,10.918454828748274,10,141.0,2.073529411764706
