step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
0.0,0,0.0,0.0,0.0
5.0,0,0.0,0.0,12.212714042493765
10.0,0,0.0,0.0,12.701389719772116
15.0,0,0.0,0.0,12.889064289634542
20.0,0,0.0,0.0,12.58365039765218
25.0,0,0.0,0.0,12.618197443034772
30.0,0,0.0,0.0,12.691942661569184
35.0,0,0.0,0.0,12.59474866781698
40.0,0,0.0,0.0,13.394920913864736
45.0,0,0.0,0.0,13.346280067924639
50.0,0,0.0,0.0,13.007926013131248
55.0,0,0.0,0.0,12.98444282500904
60.0,0,0.0,0.0,12.148711973046113
65.0,4,10.0,0.4166666666666667,10.864449730085449
70.0,3,23.0,0.9583333333333334,11.253241121707532
75.0,4,40.0,1.1111111111111112,11.84158698211839
80.0,4,60.0,1.6666666666666667,11.761152682328651
85.0,4,80.0,2.2222222222222223,11.710400326698194
90.0,5,101.0,2.8055555555555554,10.301316800598128
95.0,9,137.0,3.8055555555555554,9.229108086240327
100.0,9,171.0,4.75,9.218635038911554
105.0,10,219.0,6.257142857142857,9.32202056471326
110.0,6,146.0,3.106382978723404,10.490459160805871
115.0,6,176.0,3.8260869565217392,10.88433041757433
120.0,6,206.0,4.5777777777777775,10.750381054850427
125.0,7,241.0,5.4772727272727275,9.968691793430311
130.0,5,212.0,5.170731707317073,10.193216167922628
135.0,5,237.0,5.925,10.304997633026185
140.0,7,268.0,6.871794871794871,10.285409215472221
145.0,8,304.0,5.96078431372549,11.110419203893892
150.0,6,313.0,6.26,11.158443296430246
155.0,6,343.0,7.297872340425532,11.244700948562883
160.0,6,373.0,7.9361702127659575,11.156079292368343
165.0,7,404.0,8.595744680851064,10.6871734117602
170.0,8,444.0,9.866666666666667,10.125148314206841
175.0,10,489.0,11.642857142857142,9.568985347876508
180.0,10,539.0,13.146341463414634,9.185200460657459
185.0,13,597.0,11.705882352941176,9.429042323290233
190.0,9,591.0,11.82,9.314924789716743
195.0,9,636.0,13.53191489361702,9.935332773331039
200.0,10,682.0,14.51063829787234,9.263343022529991
205.0,13,742.0,16.863636363636363,8.311517969149548
210.0,15,815.0,18.522727272727273,7.925185670499138
215.0,16,893.0,20.767441860465116,7.553108097654735
220.0,13,910.0,16.85185185185185,9.157219155313566
225.0,13,975.0,19.11764705882353,9.292630192242182
230.0,13,1040.0,20.392156862745097,9.336166326008444
235.0,13,1105.0,21.666666666666668,9.294325154026286
240.0,12,1065.0,20.88235294117647,8.301148868182958
245.0,15,1136.0,23.183673469387756,7.894806433411589
250.0,14,1203.0,25.0625,8.20893059297161
255.0,15,1274.0,21.96551724137931,9.379689403289678
260.0,14,1312.0,23.854545454545455,9.096513007564804
265.0,14,1382.0,25.59259259259259,9.15338143582831
270.0,15,1454.0,26.925925925925927,8.717835092062838
