step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
0.0,0,0.0,0.0,0.0
5.0,0,0.0,0.0,12.574382081718952
10.0,0,0.0,0.0,12.828337692365116
15.0,0,0.0,0.0,12.785861314141025
20.0,0,0.0,0.0,12.757194170626022
25.0,0,0.0,0.0,12.976915910709574
30.0,0,0.0,0.0,12.709238525156517
35.0,0,0.0,0.0,12.646371279742766
40.0,0,0.0,0.0,12.637613144381632
45.0,0,0.0,0.0,12.565040091551802
50.0,0,0.0,0.0,12.810399961939801
55.0,1,1.0,0.027777777777777776,12.180487639786673
60.0,2,9.0,0.25,11.416916189876035
65.0,2,15.0,0.4166666666666667,11.58085369888063
70.0,4,29.0,0.8055555555555556,11.160858681127799
75.0,4,33.0,0.6875,11.72853763321397
80.0,5,55.0,1.1458333333333333,11.119542736050773
85.0,2,7.0,0.14583333333333334,11.234371006957483
90.0,3,22.0,0.4583333333333333,11.718747151882846
95.0,3,17.0,0.3541666666666667,11.76739875875227
100.0,3,32.0,0.5333333333333333,11.98975975510885
105.0,5,43.0,0.7166666666666667,10.981879525304638
110.0,9,81.0,1.35,10.460958269488014
115.0,8,85.0,1.4406779661016949,10.640293965945814
120.0,8,125.0,2.272727272727273,10.931200674043122
125.0,5,98.0,1.4848484848484849,11.16799298160458
130.0,8,129.0,2.015625,10.951087337034412
135.0,6,50.0,0.78125,10.787009849089515
140.0,8,86.0,1.3870967741935485,10.854836767574158
145.0,7,81.0,1.0945945945945945,11.493102869695901
150.0,7,116.0,1.6111111111111112,11.394621548501485
155.0,5,46.0,0.6764705882352942,10.831712837928665
160.0,8,81.0,1.2461538461538462,11.009068854417311
165.0,8,116.0,1.8125,11.24288864859906
170.0,8,156.0,2.1666666666666665,11.051775177742037
175.0,10,205.0,2.9285714285714284,10.73157404541582
180.0,12,261.0,3.7285714285714286,10.415140921016025
185.0,5,86.0,1.323076923076923,10.563918552351305
190.0,7,116.0,1.8412698412698412,11.130024379360913
195.0,4,39.0,0.5492957746478874,11.722985160271785
200.0,4,59.0,0.8428571428571429,11.48079439562282
205.0,5,81.0,1.173913043478261,11.603388901033023
210.0,7,108.0,1.6119402985074627,11.367864319351403
215.0,8,145.0,2.265625,11.169023533550448
220.0,8,185.0,2.5,11.308033939544044
225.0,6,106.0,1.4722222222222223,10.871655721773998
230.0,10,152.0,2.2686567164179103,10.619939145926855
235.0,5,27.0,0.4153846153846154,10.967853632024173
240.0,6,53.0,0.8412698412698413,11.630111870499482
245.0,2,31.0,0.4305555555555556,12.144386663286001
250.0,4,47.0,0.7014925373134329,11.270638430767146
255.0,7,34.0,0.53125,11.080705207023534
260.0,7,69.0,1.0952380952380953,11.507102993364478
265.0,7,87.0,1.2083333333333333,11.706663250635382
270.0,9,125.0,1.7605633802816902,11.193445554860677
275.0,4,56.0,0.7887323943661971,11.172082196620531
280.0,6,85.0,1.2318840579710144,11.691926374006794
285.0,1,9.0,0.13432835820895522,12.261042174779359
290.0,1,14.0,0.18666666666666668,12.732462777660272
295.0,2,5.0,0.06944444444444445,12.50906537573932
300.0,3,20.0,0.2898550724637681,12.357934400064016
305.0,4,30.0,0.46153846153846156,11.781798963299313
310.0,7,60.0,0.967741935483871,11.435967005051682
315.0,7,43.0,0.5972222222222222,11.162886792765491
320.0,9,83.0,1.2205882352941178,11.407156871257937
325.0,5,43.0,0.6417910447761194,11.412168463601452
330.0,6,71.0,1.126984126984127,11.836992202777038
335.0,2,29.0,0.4915254237288136,12.322051326313346
340.0,3,40.0,0.6060606060606061,11.988036301352647
345.0,3,12.0,0.1875,11.760953582214135
350.0,7,39.0,0.6290322580645161,11.396317119302822
355.0,6,54.0,0.8852459016393442,11.499880025303673
360.0,6,84.0,1.423728813559322,11.86421917453951
365.0,2,28.0,0.4,11.800720639065842
370.0,4,47.0,0.7014925373134329,11.6186963524154
375.0,5,27.0,0.421875,11.881629851809553
380.0,5,52.0,0.8666666666666667,11.984778532487667
385.0,4,45.0,0.6338028169014085,12.42159374218361
390.0,5,66.0,0.9705882352941176,12.109536256740299
395.0,3,10.0,0.14925373134328357,11.48199186848311
400.0,6,37.0,0.5873015873015873,11.589478496037957
405.0,3,31.0,0.5166666666666667,12.013600952891299
410.0,4,50.0,0.704225352112676,12.630849812994827
415.0,4,32.0,0.47058823529411764,11.56823113218075
420.0,8,67.0,1.046875,11.354262013830635
425.0,7,57.0,0.95,11.231322677398758
430.0,8,95.0,1.6101694915254237,11.516290307360082
435.0,5,57.0,0.8142857142857143,11.61081870116584
440.0,7,85.0,1.2878787878787878,11.623170643650898
445.0,1,1.0,0.015625,11.71010841228739
450.0,6,23.0,0.36507936507936506,12.095277910576478
455.0,4,37.0,0.6271186440677966,12.499224739494393
460.0,5,58.0,0.8656716417910447,12.308358896291129
465.0,6,47.0,0.7014925373134329,11.638795465182673
