,system_mean_speed,system_mean_waiting_time,step,system_total_stopped,system_total_waiting_time
0,13.286140349252868,0.0,5.0,0,0.0
1,13.567644195566308,0.0,10.0,0,0.0
2,13.56199929626616,0.0,15.0,0,0.0
3,13.291044367412455,0.0,20.0,0,0.0
4,13.33203198125824,0.0,25.0,0,0.0
5,13.72661364911392,0.0,30.0,0,0.0
6,13.41339343723488,0.0,35.0,0,0.0
7,13.677769438556828,0.0,40.0,0,0.0
8,13.451984630947274,0.0,45.0,0,0.0
9,12.792176657186777,0.0,50.0,0,0.0
10,10.04677789206229,0.08333333333333333,55.0,1,1.0
11,7.571717444858013,1.1666666666666667,60.0,4,14.0
12,6.844520238489605,2.4166666666666665,65.0,5,29.0
13,6.831216998951437,4.583333333333333,70.0,6,55.0
14,9.946857896022482,3.5416666666666665,75.0,6,85.0
15,10.120714568370145,4.791666666666667,80.0,6,115.0
16,9.957265311798864,6.041666666666667,85.0,6,145.0
17,9.968197089009847,7.291666666666667,90.0,6,175.0
18,10.023360405995362,8.541666666666666,95.0,6,205.0
19,9.862704874089227,9.791666666666666,100.0,6,235.0
20,9.943659707989356,11.041666666666666,105.0,6,265.0
21,9.609594252499313,13.409090909090908,110.0,6,295.0
22,10.263704958081863,5.238095238095238,115.0,2,110.0
23,11.830681624121567,6.0,120.0,2,120.0
24,10.556489633821753,6.842105263157895,125.0,2,130.0
25,7.589448420140378,8.222222222222221,130.0,5,148.0
26,5.394685658394717,9.055555555555555,135.0,5,163.0
27,5.579206342005795,11.38888888888889,140.0,10,205.0
28,9.633981858765036,2.0689655172413794,145.0,6,60.0
29,10.546466465664517,3.0,150.0,6,90.0
30,10.697593514234397,4.0,155.0,6,120.0
31,10.53883789674731,5.0,160.0,6,150.0
32,10.877048064874721,4.241379310344827,165.0,4,123.0
33,11.259725150527988,4.931034482758621,170.0,4,143.0
34,11.184984838140553,5.821428571428571,175.0,4,163.0
35,11.241036953297158,6.777777777777778,180.0,4,183.0
36,11.051216665041927,7.8076923076923075,185.0,4,203.0
37,10.923178991741242,8.92,190.0,4,223.0
38,10.247127148795842,10.565217391304348,195.0,4,243.0
39,8.817963165030013,12.181818181818182,200.0,6,268.0
40,7.3384622784140605,15.1,205.0,7,302.0
41,5.814036630208295,18.157894736842106,210.0,10,345.0
42,5.703490873448887,21.22222222222222,215.0,8,382.0
43,9.06448469022433,14.233333333333333,220.0,9,427.0
44,8.855401206670662,15.833333333333334,225.0,10,475.0
45,9.767125942316666,0.8214285714285714,230.0,2,23.0
46,11.595806490416155,1.1785714285714286,235.0,2,33.0
47,12.31166464605527,1.5925925925925926,240.0,2,43.0
48,12.056142839115834,2.0384615384615383,245.0,2,53.0
49,12.048759658313596,2.423076923076923,250.0,2,63.0
50,12.497323725422754,0.0,255.0,0,0.0
51,12.691557223096114,0.0,260.0,0,0.0
52,12.904965942249522,0.0,265.0,0,0.0
53,11.25352038003499,0.0,270.0,0,0.0
54,9.782716632346558,0.3333333333333333,275.0,3,8.0
55,9.188121007840921,1.1363636363636365,280.0,4,25.0
56,7.945020942211697,2.6666666666666665,285.0,7,56.0
57,9.09261110768608,3.2758620689655173,290.0,8,95.0
58,9.474413644253561,3.4285714285714284,295.0,6,96.0
59,9.775008584360105,4.846153846153846,300.0,6,126.0
60,9.886370303329526,6.0,305.0,6,156.0
61,9.715801636873723,7.153846153846154,310.0,6,186.0
62,10.62924601444859,2.769230769230769,315.0,2,72.0
63,11.691672193310653,3.1538461538461537,320.0,2,82.0
64,11.631726698349658,3.5384615384615383,325.0,2,92.0
65,11.417341459029311,4.434782608695652,330.0,2,102.0
66,11.67947212238122,5.333333333333333,335.0,2,112.0
67,10.615500131486936,6.1,340.0,2,122.0
68,9.640748006054285,6.9,345.0,4,138.0
69,8.077823981919268,0.5263157894736842,350.0,2,10.0
70,8.817420797578725,1.5789473684210527,355.0,5,30.0
71,9.71835949364037,0.8888888888888888,360.0,2,16.0
72,11.418828740281043,0.9666666666666667,365.0,4,29.0
73,11.839267237772392,1.2,370.0,2,36.0
74,12.334238024833061,1.5862068965517242,375.0,2,46.0
75,12.61159860295493,0.0,380.0,0,0.0
76,13.383914168788326,0.0,385.0,0,0.0
77,13.127735956086669,0.0,390.0,0,0.0
78,13.100785035560735,0.0,395.0,0,0.0
79,13.20161947230239,0.0,400.0,0,0.0
80,13.179513467225036,0.0,405.0,0,0.0
81,12.360796186306386,0.0,410.0,0,0.0
82,9.744404657364608,0.1,415.0,1,2.0
83,6.871951344349395,1.3333333333333333,420.0,7,24.0
84,5.85333408231425,3.235294117647059,425.0,8,55.0
85,6.629453649736278,5.588235294117647,430.0,8,95.0
86,9.999302818034424,2.2758620689655173,435.0,4,66.0
87,11.195825602052356,2.9655172413793105,440.0,4,86.0
88,11.297812491744383,4.076923076923077,445.0,4,106.0
89,11.208357395131051,5.25,450.0,4,126.0
90,12.016570653142997,0.0,455.0,0,0.0
91,13.450100880767819,0.0,460.0,0,0.0
92,13.274140931924043,0.0,465.0,0,0.0
93,13.325545701003806,0.0,470.0,0,0.0
94,13.272337988787587,0.0,475.0,0,0.0
95,13.295349672451495,0.0,480.0,0,0.0
96,13.27608839495677,0.0,485.0,0,0.0
97,9.975248656860042,0.1111111111111111,490.0,2,2.0
98,6.959558991604213,1.1176470588235294,495.0,5,19.0
99,6.7861885356899005,3.375,500.0,8,54.0
100,9.63818640466383,2.925925925925926,505.0,6,79.0
101,9.74038900280054,4.037037037037037,510.0,6,109.0
