,system_mean_speed,system_mean_waiting_time,step,system_total_stopped,system_total_waiting_time
0,13.48451663890966,0.0,5.0,0,0.0
1,13.437988763292395,0.0,10.0,0,0.0
2,13.628904744440923,0.0,15.0,0,0.0
3,13.684794971768163,0.0,20.0,0,0.0
4,13.769028555623864,0.0,25.0,0,0.0
5,13.750243266803366,0.0,30.0,0,0.0
6,13.672035599191943,0.0,35.0,0,0.0
7,13.547061738531454,0.0,40.0,0,0.0
8,13.632127451853515,0.0,45.0,0,0.0
9,12.371344786827825,0.0,50.0,0,0.0
10,7.9631162874207915,0.08333333333333333,55.0,1,1.0
11,5.329321122377567,1.4166666666666667,60.0,5,17.0
12,5.9327612583486,3.5,65.0,6,42.0
13,6.497882785101356,6.0,70.0,6,72.0
14,9.963260612263982,2.8333333333333335,75.0,4,68.0
15,10.736327241746183,3.6666666666666665,80.0,4,88.0
16,10.742058012703296,4.5,85.0,4,108.0
17,10.72702425941039,5.333333333333333,90.0,4,128.0
18,10.885283823118174,6.166666666666667,95.0,4,148.0
19,10.838289056296214,7.0,100.0,4,168.0
20,10.565984185050219,8.173913043478262,105.0,4,188.0
21,10.419948693094897,9.454545454545455,110.0,4,208.0
22,10.496708009067028,10.363636363636363,115.0,4,228.0
23,10.205558162430693,11.80952380952381,120.0,4,248.0
24,9.472153195923655,14.105263157894736,125.0,4,268.0
25,8.510773740339511,15.263157894736842,130.0,5,290.0
26,5.146867601777952,18.88235294117647,135.0,7,321.0
27,3.227339955642604,21.352941176470587,140.0,10,363.0
28,8.24768901340569,15.296296296296296,145.0,10,413.0
29,8.606367693278251,15.642857142857142,150.0,8,438.0
30,9.050419793605155,17.071428571428573,155.0,8,478.0
31,9.985819714237815,0.0,160.0,0,0.0
32,12.309132589471364,0.0,165.0,0,0.0
33,12.981437082129531,0.0,170.0,0,0.0
34,12.81956642022341,0.0,175.0,0,0.0
35,12.86643035016822,0.0,180.0,0,0.0
36,12.956801413322781,0.0,185.0,0,0.0
37,12.850017966347897,0.0,190.0,0,0.0
38,12.896480306548579,0.0,195.0,0,0.0
39,10.71521097260606,0.11538461538461539,200.0,2,3.0
40,9.240332579101153,1.0,205.0,6,24.0
41,8.440284483829657,1.4545454545454546,210.0,4,32.0
42,8.847335304561895,2.9473684210526314,215.0,5,56.0
43,10.325629487822475,2.896551724137931,220.0,6,84.0
44,10.260065343552897,4.384615384615385,225.0,6,114.0
45,10.388401839887562,3.5416666666666665,230.0,4,85.0
46,11.390225260771302,4.375,235.0,4,105.0
47,11.280844431791202,5.208333333333333,240.0,4,125.0
48,11.401110007618419,6.041666666666667,245.0,4,145.0
49,11.299347980344862,6.875,250.0,4,165.0
50,11.12211049363189,8.043478260869565,255.0,4,185.0
51,11.058333514544136,8.91304347826087,260.0,4,205.0
52,10.983698950448122,10.227272727272727,265.0,4,225.0
53,10.286666620706008,6.65,270.0,2,133.0
54,7.7985234221528295,8.0,275.0,5,152.0
55,7.411525457515598,9.944444444444445,280.0,6,179.0
56,7.047006377354391,12.647058823529411,285.0,8,215.0
57,9.375583605947407,8.75,290.0,7,245.0
58,9.615742625389965,10.0,295.0,7,280.0
59,10.089006393399597,8.821428571428571,300.0,4,247.0
60,11.066112565296553,9.535714285714286,305.0,4,267.0
61,11.080307951014046,10.25,310.0,4,287.0
62,11.021267263719299,10.964285714285714,315.0,4,307.0
63,11.428176071991654,0.0,320.0,0,0.0
64,12.567417240867785,0.0,325.0,0,0.0
65,12.849471755264293,0.0,330.0,0,0.0
66,12.833896010642661,0.0,335.0,0,0.0
67,11.379204940955908,0.0,340.0,0,0.0
68,9.332827727400865,0.47619047619047616,345.0,3,10.0
69,9.428999093562147,1.368421052631579,350.0,4,26.0
70,9.726795105507861,2.5555555555555554,355.0,4,46.0
71,9.239395734431016,1.1176470588235294,360.0,2,19.0
72,11.615859448766804,1.1379310344827587,365.0,3,33.0
73,11.522906898006331,1.8928571428571428,370.0,4,53.0
74,11.278173861095622,2.814814814814815,375.0,5,76.0
75,10.955006130550325,3.8846153846153846,380.0,5,101.0
76,10.937777148927617,5.25,385.0,5,126.0
77,10.753640893202837,6.291666666666667,390.0,5,151.0
78,10.932245698709211,7.333333333333333,395.0,5,176.0
79,10.919134180826228,8.375,400.0,5,201.0
80,11.478366346674065,1.5,405.0,1,33.0
81,11.387069027675667,1.8095238095238095,410.0,1,38.0
82,10.56541343459044,2.526315789473684,415.0,2,48.0
83,7.563911980650906,3.9411764705882355,420.0,6,67.0
84,6.419612981323018,5.294117647058823,425.0,6,90.0
85,6.828546170786612,7.411764705882353,430.0,8,126.0
86,10.190547371508634,4.9655172413793105,435.0,6,144.0
87,10.502067992451035,6.0,440.0,6,174.0
88,11.337847099068616,0.6551724137931034,445.0,1,19.0
89,12.472208222431625,0.8275862068965517,450.0,1,24.0
90,12.528996265950678,1.0357142857142858,455.0,1,29.0
91,12.560499531048727,1.2592592592592593,460.0,1,34.0
92,12.610040132002005,1.4444444444444444,465.0,1,39.0
93,12.479511656593441,1.6923076923076923,470.0,1,44.0
94,12.516839829364308,1.96,475.0,1,49.0
95,12.386649844048973,2.25,480.0,1,54.0
96,12.220588951564205,2.8095238095238093,485.0,1,59.0
97,9.747486785900982,0.35,490.0,3,7.0
98,7.108929330432163,1.6666666666666667,495.0,7,30.0
99,7.714820757069739,2.7222222222222223,500.0,6,49.0
100,9.98433876479792,3.0,505.0,7,81.0
101,10.39867569721478,1.7037037037037037,510.0,3,46.0
102,11.562566344807149,2.3461538461538463,515.0,3,61.0
103,11.941262510028734,2.269230769230769,520.0,2,59.0
104,11.851014669391805,2.76,525.0,2,69.0
105,11.909045509648905,3.2916666666666665,530.0,2,79.0
106,11.919159545888396,3.7083333333333335,535.0,2,89.0
107,11.88445030129248,4.125,540.0,2,99.0
108,11.764628431858535,4.739130434782608,545.0,2,109.0
109,11.888273360034127,5.173913043478261,550.0,2,119.0
110,11.251361982768843,6.45,555.0,2,129.0
111,9.480589970902376,7.05,560.0,3,141.0
112,8.777405283211843,0.0,565.0,0,0.0
113,9.443861085737732,0.6875,570.0,3,11.0
114,8.192694383710634,2.2,575.0,6,33.0
115,10.000940075272648,2.3333333333333335,580.0,6,63.0
116,10.202232499498667,3.4444444444444446,585.0,6,93.0
117,10.933957736513902,1.4444444444444444,590.0,2,39.0
118,11.820805991871593,1.8846153846153846,595.0,2,49.0
119,12.039196600753657,2.269230769230769,600.0,2,59.0
120,11.967150082078607,2.6538461538461537,605.0,2,69.0
121,12.204232488208277,0.0,610.0,0,0.0
122,12.82796813091977,0.0,615.0,0,0.0
123,12.69257902200078,0.0,620.0,0,0.0
124,12.522514245620371,0.0,625.0,0,0.0
125,10.229050526452333,0.05555555555555555,630.0,1,1.0
126,8.469126015538352,0.7777777777777778,635.0,4,14.0
127,6.627269811547726,2.2777777777777777,640.0,7,41.0
128,6.325849132091587,4.055555555555555,645.0,7,73.0
129,8.668134332776134,3.8620689655172415,650.0,8,112.0
130,8.711217348203181,5.25,655.0,8,147.0
131,8.610613947586959,7.1923076923076925,660.0,8,187.0
132,8.754591306093484,8.73076923076923,665.0,8,227.0
133,8.727063723727465,10.26923076923077,670.0,8,267.0
134,9.463631142123324,5.76,675.0,4,144.0
135,10.687222491488704,6.56,680.0,4,164.0
136,10.713325364244945,7.666666666666667,685.0,4,184.0
137,10.789249737891987,8.5,690.0,4,204.0
138,10.687626105582302,9.333333333333334,695.0,4,224.0
139,9.945892547928912,10.608695652173912,700.0,4,244.0
140,7.83897338035126,11.652173913043478,705.0,6,268.0
141,7.306270557078528,13.909090909090908,710.0,8,306.0
142,5.786628155100238,15.545454545454545,715.0,9,342.0
143,5.801648895806316,19.0,720.0,12,399.0
144,8.780632715965854,14.225806451612904,725.0,10,441.0
145,8.890470142577344,16.366666666666667,730.0,10,491.0
146,9.962174794062802,1.3793103448275863,735.0,2,40.0
147,11.84283422614686,1.7241379310344827,740.0,2,50.0
148,12.49982762019216,2.142857142857143,745.0,2,60.0
149,12.50790505298779,2.5,750.0,2,70.0
150,12.875744646918688,0.0,755.0,0,0.0
151,13.209413786440566,0.0,760.0,0,0.0
152,13.287192671014658,0.0,765.0,0,0.0
153,12.73724715847405,0.0,770.0,0,0.0
154,10.603071664231043,0.2,775.0,2,5.0
155,9.02809210279858,1.0416666666666667,780.0,6,25.0
156,8.029509827206205,2.0,785.0,8,48.0
157,8.46641662642587,3.8260869565217392,790.0,8,88.0
158,10.786868557229,1.5806451612903225,795.0,4,49.0
159,11.967657578559406,2.4642857142857144,800.0,4,69.0
160,12.556401466685472,0.8148148148148148,805.0,1,22.0
161,13.238894776728387,1.0,810.0,1,27.0
162,13.437724137718705,1.2307692307692308,815.0,1,32.0
163,13.43801089651865,1.4230769230769231,820.0,1,37.0
164,13.55166575452752,1.826086956521739,825.0,1,42.0
165,13.577049554119668,2.1363636363636362,830.0,1,47.0
166,13.51492173213298,2.3636363636363638,835.0,1,52.0
167,12.46851521188717,2.7142857142857144,840.0,1,57.0
168,9.746526978958979,3.4,845.0,3,68.0
