step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
0.0,0,0.0,0.0,0.0
5.0,0,0.0,0.0,12.976516950228168
10.0,0,0.0,0.0,13.536637853730875
15.0,0,0.0,0.0,13.306400022575964
20.0,0,0.0,0.0,13.225940487346321
25.0,0,0.0,0.0,13.189787514915837
30.0,0,0.0,0.0,13.342390044400132
35.0,0,0.0,0.0,13.403645039062384
40.0,0,0.0,0.0,13.082244564406627
45.0,0,0.0,0.0,12.990233672825545
50.0,0,0.0,0.0,12.808310415534981
55.0,2,3.0,0.125,10.534167438734679
60.0,7,30.0,1.25,8.842934248958487
65.0,5,48.0,2.0,8.320825464966129
70.0,7,81.0,3.375,9.038770088710914
75.0,7,116.0,3.2222222222222223,10.40763172975406
80.0,7,151.0,4.194444444444445,10.516646915277612
85.0,7,186.0,5.166666666666667,10.49050164864385
90.0,7,221.0,6.138888888888889,9.613102606472452
95.0,10,266.0,7.388888888888889,8.636907363871574
100.0,13,327.0,9.083333333333334,8.071014887368161
105.0,13,392.0,10.88888888888889,8.288501744636346
110.0,13,457.0,9.520833333333334,9.41685794949003
115.0,15,528.0,11.0,9.204145955724508
120.0,15,603.0,12.829787234042554,8.64522004977743
125.0,16,681.0,15.133333333333333,8.564057548381664
130.0,17,763.0,17.34090909090909,7.44632191764418
135.0,21,860.0,19.545454545454547,6.903316005040682
140.0,22,967.0,21.977272727272727,6.694150123407272
145.0,23,1079.0,19.618181818181817,7.901128161084765
150.0,23,1194.0,22.11111111111111,7.711637246394285
155.0,23,1309.0,24.69811320754717,7.23934176615319
160.0,24,1429.0,27.48076923076923,6.5581047640453765
165.0,27,1554.0,30.470588235294116,5.709447242982182
170.0,29,1697.0,33.94,5.137172478161445
175.0,26,1489.0,29.78,5.203301922036113
180.0,25,1609.0,32.18,6.139572040210435
185.0,24,1723.0,28.24590163934426,7.673745423019766
190.0,24,1843.0,30.716666666666665,7.699310725810499
195.0,24,1963.0,32.71666666666667,7.518844426621205
200.0,25,2086.0,35.355932203389834,7.213914770178586
205.0,27,2217.0,37.57627118644068,6.483917397938632
210.0,31,2366.0,40.101694915254235,6.052089663155732
215.0,31,2521.0,44.228070175438596,5.660276956838972
220.0,32,2681.0,39.4264705882353,6.890761743902229
