step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
0.0,0,0.0,0.0,0.0
5.0,0,0.0,0.0,12.80823712007988
10.0,0,0.0,0.0,12.674561384279244
15.0,0,0.0,0.0,12.707609955217258
20.0,0,0.0,0.0,12.741943652655968
25.0,0,0.0,0.0,12.765005684438044
30.0,0,0.0,0.0,12.978029532654638
35.0,0,0.0,0.0,12.970462223512703
40.0,0,0.0,0.0,13.418435342901622
45.0,0,0.0,0.0,13.316765335836672
50.0,0,0.0,0.0,13.23833399495903
55.0,0,0.0,0.0,12.693811104004071
60.0,2,4.0,0.16666666666666666,11.643861565027615
65.0,4,19.0,0.7916666666666666,10.6296481341442
70.0,4,20.0,0.8333333333333334,10.190619530971329
75.0,6,45.0,1.25,11.362001569226546
80.0,6,75.0,2.0833333333333335,10.96047992145879
85.0,6,90.0,2.5,10.979682396614455
90.0,7,122.0,3.388888888888889,9.981779467404152
95.0,3,33.0,0.9166666666666666,10.647147528828924
100.0,5,53.0,1.4722222222222223,10.923821500652574
105.0,4,27.0,0.75,11.192543648619935
110.0,4,47.0,1.0444444444444445,12.002221378865213
115.0,3,54.0,1.2,12.244254256729668
120.0,3,69.0,1.5333333333333334,12.088024983635721
125.0,5,90.0,2.0,11.650936991938309
130.0,5,115.0,2.738095238095238,10.419624610252274
135.0,5,94.0,2.238095238095238,10.4170067876079
140.0,6,123.0,3.0,10.702178689261984
145.0,7,158.0,3.16,11.12725954372526
150.0,4,62.0,1.2653061224489797,11.23167685870246
155.0,4,82.0,1.7083333333333333,11.822687887911629
160.0,4,102.0,2.2666666666666666,11.195109083918783
165.0,6,130.0,2.9545454545454546,10.744622921540897
170.0,10,169.0,4.121951219512195,9.183638076110935
175.0,6,35.0,0.8536585365853658,9.342425200238901
180.0,7,68.0,1.7435897435897436,10.467613599324453
185.0,6,95.0,1.9791666666666667,11.48770260716129
190.0,6,125.0,2.6595744680851063,11.433329335459286
195.0,4,103.0,2.239130434782609,11.230377021460992
200.0,7,130.0,2.888888888888889,10.595361507334841
205.0,8,163.0,3.7906976744186047,9.970449900436321
210.0,9,208.0,4.837209302325581,9.75927331998372
215.0,9,215.0,5.375,9.156213865045746
220.0,10,265.0,5.096153846153846,10.856202120640962
225.0,2,24.0,0.46153846153846156,11.536916923122899
230.0,2,34.0,0.6666666666666666,12.542447707056118
235.0,2,44.0,0.9361702127659575,11.664168787420985
240.0,6,67.0,1.5227272727272727,11.019788764650738
245.0,6,91.0,2.116279069767442,11.212453842430294
250.0,6,121.0,2.813953488372093,11.60639652003746
255.0,6,151.0,2.7962962962962963,12.048836778942198
260.0,6,181.0,3.62,11.815304692858826
