step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,11.902466991237693,0,0.0,0.9064497689805386,0,0.0
10.0,0,0.0,0.0,12.086946233009206,0,0.0,0.9189610499746376,0,0.0
15.0,0,0.0,0.0,12.462977276906551,0,0.0,0.9492910643109056,0,0.0
20.0,0,0.0,0.0,12.39894275401714,0,0.0,0.9444613993644727,0,0.0
25.0,0,0.0,0.0,12.632088504513519,0,0.0,0.9620159691338815,0,0.0
30.0,0,0.0,0.0,12.454007356097911,0,0.0,0.947621026393899,0,0.0
35.0,0,0.0,0.0,12.544156807627244,0,0.0,0.9547080051502194,0,0.0
40.0,0,0.0,0.0,12.51689710042279,0,0.0,0.9514118544541432,0,0.0
45.0,0,0.0,0.0,12.556859200252944,0,0.0,0.9536659727238722,0,0.0
50.0,0,0.0,0.0,12.125653347805203,0,0.0,0.9251897842379552,0,0.0
55.0,1,1.0,0.08333333333333333,10.671852648529642,1,1.0,0.8354974834577599,1,1.0
60.0,1,6.0,0.5,7.130601930901136,1,6.0,0.5943057481327926,1,6.0
65.0,7,28.0,2.3333333333333335,4.340344410746824,7,28.0,0.3069694461345346,7,28.0
70.0,8,66.0,5.5,3.603265286848045,8,66.0,0.2357088997063053,8,66.0
75.0,5,74.0,3.0833333333333335,7.883426225656323,5,75.0,0.579744101388411,5,75.0
80.0,7,109.0,4.541666666666667,9.030389091323046,7,109.0,0.59880618169729,7,109.0
85.0,7,144.0,6.0,9.215919262517955,7,144.0,0.6099261557976194,7,144.0
90.0,3,56.0,2.3333333333333335,9.693348979249508,3,109.0,0.6884058704241154,3,109.0
95.0,3,71.0,2.9583333333333335,10.99972954353507,3,71.0,0.7553649687747647,3,71.0
100.0,3,86.0,3.5833333333333335,11.502350867063532,3,86.0,0.7658644562681303,3,86.0
105.0,3,101.0,4.208333333333333,11.36363684726843,3,101.0,0.7679844324762057,3,101.0
110.0,3,116.0,4.833333333333333,11.476591262869603,3,116.0,0.7710498635379025,3,116.0
115.0,3,131.0,5.458333333333333,11.466736050327723,3,131.0,0.7685817353546179,3,131.0
120.0,3,146.0,6.3478260869565215,11.085899846183692,3,146.0,0.7415457374188322,3,146.0
125.0,3,161.0,7.0,10.121586009055715,3,161.0,0.6390887457478046,3,161.0
130.0,7,188.0,8.173913043478262,8.16722291598063,7,188.0,0.4059787049605821,7,188.0
135.0,6,163.0,7.409090909090909,6.262071628813672,6,166.0,0.18081203387243167,6,166.0
140.0,10,213.0,10.142857142857142,5.867706334624506,10,213.0,0.022613085889846198,10,213.0
145.0,11,267.0,8.612903225806452,8.372356611924348,11,267.0,0.5217398366312874,11,267.0
150.0,11,322.0,11.5,7.626996603026754,11,322.0,0.4969068214618407,11,322.0
155.0,8,323.0,11.962962962962964,7.890837847513686,8,323.0,0.5663386547674334,8,323.0
160.0,8,363.0,13.444444444444445,8.781656339515918,8,363.0,0.5695372325648895,8,363.0
165.0,8,403.0,14.925925925925926,8.721648598075694,8,403.0,0.5620558738377665,8,403.0
170.0,8,443.0,16.40740740740741,8.789296855335662,8,443.0,0.5676834722634171,8,443.0
175.0,8,483.0,17.88888888888889,8.738951065503084,8,483.0,0.5651178138185808,8,483.0
180.0,8,523.0,19.37037037037037,8.875064491087041,8,523.0,0.574305956645697,8,523.0
185.0,4,226.0,8.37037037037037,9.285134432356928,4,328.0,0.6524000679540145,4,328.0
190.0,4,246.0,9.461538461538462,10.201732576099724,4,246.0,0.706011898499169,4,246.0
195.0,4,266.0,10.23076923076923,10.389752039463003,4,266.0,0.7106593207298681,4,266.0
200.0,1,1.0,0.04,10.529154483309421,1,133.0,0.7844259277650044,1,133.0
205.0,4,10.0,0.4166666666666667,9.163895089755693,4,10.0,0.46982837323048,4,10.0
210.0,5,32.0,1.391304347826087,8.86683397731869,5,32.0,0.1663251030473215,5,32.0
215.0,4,29.0,1.2608695652173914,9.193028715289547,4,29.0,0.06292469592701147,4,29.0
220.0,4,49.0,1.4848484848484849,11.124549755167367,4,49.0,0.6881861424646232,4,49.0
225.0,4,69.0,2.15625,11.349592522747017,4,69.0,0.718700847891137,4,69.0
230.0,4,89.0,2.78125,11.235567116913487,4,89.0,0.703038437583309,4,89.0
235.0,2,63.0,1.96875,11.820145359951757,2,63.0,0.8295766567822904,2,63.0
240.0,2,73.0,2.28125,12.13591238079956,2,73.0,0.8244811305007157,2,73.0
245.0,2,83.0,2.6774193548387095,11.977253298037184,2,83.0,0.8155951152356116,2,83.0
250.0,2,93.0,3.1,11.875480852682864,2,93.0,0.8079515047521867,2,93.0
255.0,2,103.0,3.814814814814815,11.735243759843952,2,103.0,0.8123184545610191,2,103.0
260.0,2,113.0,4.346153846153846,11.66565796647274,2,113.0,0.8091269350032199,2,113.0
265.0,2,123.0,5.3478260869565215,11.567013299385335,2,123.0,0.8184252249334596,2,123.0
270.0,3,134.0,6.7,9.972769483983685,3,134.0,0.6639055909718983,3,134.0
275.0,5,154.0,7.7,8.106432570617063,5,154.0,0.39141062755073575,5,154.0
280.0,5,179.0,10.529411764705882,8.187464676908384,5,179.0,0.4085625319237201,5,179.0
285.0,5,204.0,12.0,7.930960593341359,5,204.0,0.24150520059871472,5,204.0
290.0,7,235.0,8.392857142857142,9.205760808265381,7,235.0,0.5684060881708183,7,235.0
295.0,4,233.0,8.321428571428571,10.014549812514314,4,236.0,0.6905937661835617,4,236.0
300.0,4,253.0,9.035714285714286,10.83780172316081,4,253.0,0.7131209593359308,4,253.0
305.0,4,273.0,10.5,10.813798975976669,4,273.0,0.7134284308589356,4,273.0
