step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.678066890976048,0,0.0,0.9524616907567057,0,0.0
10.0,0,0.0,0.0,12.641579620430994,0,0.0,0.9518842029057885,0,0.0
15.0,0,0.0,0.0,12.757258435815542,0,0.0,0.9594735120268602,0,0.0
20.0,0,0.0,0.0,12.691959505137726,0,0.0,0.9539454183249311,0,0.0
25.0,0,0.0,0.0,12.704063472444242,0,0.0,0.956124092816327,0,0.0
30.0,0,0.0,0.0,12.67984010885265,0,0.0,0.9540650275282995,0,0.0
35.0,0,0.0,0.0,13.01279697650412,0,0.0,0.9788397926224883,0,0.0
40.0,0,0.0,0.0,12.715564578169618,0,0.0,0.9557415295644883,0,0.0
45.0,0,0.0,0.0,12.644953260556685,0,0.0,0.9502246522890917,0,0.0
50.0,0,0.0,0.0,12.202547108835015,0,0.0,0.9246641610173194,0,0.0
55.0,1,3.0,0.25,10.335357149134493,1,3.0,0.7886010169682943,1,3.0
60.0,1,8.0,0.6666666666666666,7.990891456186994,1,8.0,0.5902405182016965,1,8.0
65.0,5,26.0,2.1666666666666665,5.741270975791831,5,26.0,0.26669065777804235,5,26.0
70.0,8,61.0,5.083333333333333,4.201472236430637,8,61.0,0.09988586426963089,8,61.0
75.0,5,73.0,3.0416666666666665,9.514755187429925,5,78.0,0.6732532640480029,5,78.0
80.0,5,98.0,4.083333333333333,10.08983054851213,5,98.0,0.6634121490011858,5,98.0
85.0,6,125.0,5.208333333333333,10.029845202777235,6,125.0,0.6336507679861483,6,125.0
90.0,2,31.0,1.2916666666666667,10.893852964290984,2,58.0,0.7788943872629679,2,58.0
95.0,2,41.0,1.7083333333333333,12.061442781599785,2,41.0,0.8116842115147348,2,41.0
100.0,2,51.0,2.125,12.298735418127002,2,51.0,0.8233151156204599,2,51.0
105.0,2,61.0,2.5416666666666665,12.252780618033496,2,61.0,0.8236819649917264,2,61.0
110.0,2,71.0,3.0869565217391304,12.162345501819846,2,71.0,0.8254769044743367,2,71.0
