step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
110.0,2,98.0,4.083333333333333,11.86436724560455,2,98.0,0.8112605971290757,2,98.0
115.0,2,108.0,4.5,12.009285621790559,2,108.0,0.8234897724955654,2,108.0
120.0,2,118.0,5.130434782608695,11.891308313898547,2,118.0,0.8201794942887843,2,118.0
125.0,2,128.0,5.565217391304348,10.68493381177299,2,128.0,0.6905775784743221,2,128.0
130.0,5,148.0,6.7272727272727275,8.415954785302633,5,148.0,0.459148664397987,5,148.0
135.0,7,182.0,8.272727272727273,7.526730444224782,7,182.0,0.26224217815237144,7,182.0
140.0,10,228.0,12.666666666666666,5.400056712757333,10,228.0,0.08125573950595243,10,228.0
145.0,10,278.0,9.586206896551724,8.407124084268215,10,278.0,0.5427443561174072,10,278.0
150.0,11,331.0,11.821428571428571,7.72730480163773,11,331.0,0.49437768344210864,11,331.0
155.0,8,330.0,12.222222222222221,8.106144400331699,8,330.0,0.5697086658885092,8,330.0
160.0,8,370.0,14.23076923076923,8.782587936760638,8,370.0,0.5684248922119944,8,370.0
165.0,8,410.0,15.76923076923077,8.813328554150896,8,410.0,0.5676750763982963,8,410.0
170.0,8,450.0,17.307692307692307,8.8760752272166,8,450.0,0.574201646563859,8,450.0
175.0,4,172.0,6.615384615384615,9.460996221833346,4,258.0,0.6589504679065064,4,258.0
180.0,4,192.0,7.384615384615385,10.644148778205013,4,192.0,0.7161788486156295,4,192.0
185.0,4,212.0,8.153846153846153,10.826582084896774,4,212.0,0.7062379422784061,4,212.0
190.0,0,0.0,0.0,11.563014363478242,0,0.0,0.9435394147620147,0,0.0
195.0,0,0.0,0.0,12.871981935832721,0,0.0,0.959945263285254,0,0.0
200.0,0,0.0,0.0,11.937664178124928,0,0.0,0.8546693625122973,0,0.0
205.0,2,5.0,0.21739130434782608,10.539411562204618,2,5.0,0.57795182077216,2,5.0
210.0,5,24.0,1.0434782608695652,9.930037013273353,5,24.0,0.07673137800512328,5,24.0
215.0,6,53.0,2.3043478260869565,9.682547658900019,6,53.0,1.5097617836732825e-06,6,53.0
220.0,4,57.0,1.7272727272727273,11.251818554575749,4,57.0,0.7082563864785141,4,57.0
225.0,4,77.0,2.40625,11.828996041796637,4,77.0,0.7247465023524766,4,77.0
230.0,4,97.0,3.03125,11.833475565008559,4,97.0,0.7268028841430998,4,97.0
235.0,4,117.0,3.9,11.725489417595584,4,117.0,0.7264160815185252,4,117.0
240.0,4,137.0,4.892857142857143,11.565661941573524,4,137.0,0.7187888376093935,4,137.0
245.0,4,157.0,6.038461538461538,11.323046062754697,4,157.0,0.7185165648882027,4,157.0
250.0,4,177.0,7.08,11.287158876864973,4,177.0,0.7231852204367232,4,177.0
255.0,4,197.0,8.565217391304348,11.029679470240639,4,197.0,0.717653130790801,4,197.0
260.0,4,217.0,9.863636363636363,10.78752601052097,4,217.0,0.7235809537740778,4,217.0
265.0,2,112.0,5.090909090909091,10.54619513892617,2,112.0,0.7392155866915566,2,112.0
270.0,4,129.0,6.7894736842105265,9.836446842975391,4,129.0,0.6084895905062336,4,129.0
275.0,6,153.0,8.052631578947368,6.9933707973859764,6,153.0,0.23234526475975323,6,153.0
280.0,6,175.0,9.722222222222221,7.051334625090675,6,176.0,0.1411714780851141,6,176.0
285.0,7,207.0,12.9375,7.5081393343919105,7,207.0,1.7885866011853712e-05,7,207.0
290.0,7,242.0,8.642857142857142,10.06990291349006,7,242.0,0.5969339261619774,7,242.0
295.0,5,236.0,8.428571428571429,10.44161636271924,5,236.0,0.6724812511097993,5,236.0
300.0,5,261.0,9.321428571428571,11.006725555003197,5,261.0,0.6762890137362997,5,261.0
305.0,5,286.0,10.214285714285714,10.976941188633065,5,286.0,0.6732557592025735,5,286.0
310.0,4,284.0,10.142857142857142,11.166647599944403,4,284.0,0.7132575777221882,4,284.0
315.0,4,304.0,11.25925925925926,11.271654443705344,4,304.0,0.7165813010077258,4,304.0
320.0,4,324.0,12.0,11.329619135688855,4,324.0,0.7145734738572315,4,324.0
325.0,4,344.0,13.76,11.01432127734412,4,344.0,0.7014290027453542,4,344.0
330.0,4,364.0,15.166666666666666,11.019206791371394,4,364.0,0.7190990871174322,4,364.0
335.0,4,384.0,17.454545454545453,10.746431189312988,4,384.0,0.7135275678737748,4,384.0
340.0,4,404.0,19.238095238095237,9.74753224930477,4,404.0,0.6378995641133818,4,404.0
345.0,7,431.0,22.68421052631579,6.617513902964617,7,431.0,0.41710339585953643,7,431.0
350.0,10,476.0,25.05263157894737,4.360937826053918,10,476.0,0.17477883771458608,10,476.0
355.0,10,506.0,29.764705882352942,2.936660550525812,10,510.0,0.06529725786818304,10,510.0
360.0,11,559.0,32.88235294117647,4.405086873673898,11,559.0,3.793235746305394e-06,11,559.0
365.0,11,614.0,21.17241379310345,8.113272476914636,11,614.0,0.49491292443435364,11,614.0
370.0,10,656.0,22.620689655172413,8.381318480584657,10,656.0,0.5210555111479196,10,656.0
375.0,10,706.0,24.344827586206897,8.583185899962535,10,706.0,0.5183764086691235,10,706.0
380.0,10,756.0,27.0,8.431433103276083,10,756.0,0.5188519770995849,10,756.0
385.0,10,806.0,28.785714285714285,8.438239000573121,10,806.0,0.522162278202353,10,806.0
390.0,10,856.0,30.571428571428573,8.410287604280681,10,856.0,0.5182939740948931,10,856.0
395.0,10,906.0,32.357142857142854,8.49243564932434,10,906.0,0.5187137057726458,10,906.0
400.0,10,956.0,34.142857142857146,8.495308945536811,10,956.0,0.5238977263301252,10,956.0
405.0,4,217.0,7.75,9.11745540705606,4,608.0,0.5951424732087789,4,608.0
410.0,5,238.0,9.153846153846153,9.914825729887205,5,238.0,0.6608230135256191,5,238.0
415.0,5,263.0,10.52,9.326383637934212,5,263.0,0.5515441238573271,5,263.0
420.0,2,6.0,0.2608695652173913,6.903559254619874,2,15.0,0.27370805853577834,2,15.0
425.0,7,37.0,1.608695652173913,8.782628018711263,7,37.0,0.20228450641624873,7,37.0
430.0,7,72.0,3.130434782608696,8.85276635858799,7,72.0,0.07018509779993627,7,72.0
435.0,6,82.0,2.342857142857143,10.603099304981647,6,82.0,0.6250651555178602,6,82.0
440.0,6,112.0,3.2941176470588234,11.146540392475647,6,112.0,0.6312016322602618,6,112.0
445.0,6,142.0,4.176470588235294,11.097308863435657,6,142.0,0.6395110240169234,6,142.0
450.0,6,172.0,5.0588235294117645,11.070997296387251,6,172.0,0.6273746193531465,6,172.0
455.0,6,202.0,5.9411764705882355,11.004584642194818,6,202.0,0.62535864590193,6,202.0
