step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.212613172361662,0,0.0,0.9538619617773044,0,0.0
10.0,0,0.0,0.0,13.453162685416174,0,0.0,0.9709981326673681,0,0.0
15.0,0,0.0,0.0,13.580548121645506,0,0.0,0.9809745804203902,0,0.0
20.0,0,0.0,0.0,13.073140828567832,0,0.0,0.9440274874878526,0,0.0
25.0,0,0.0,0.0,13.197959684824262,0,0.0,0.9525598435163339,0,0.0
30.0,0,0.0,0.0,12.975353965990948,0,0.0,0.9365908816836218,0,0.0
35.0,0,0.0,0.0,12.991764791052944,0,0.0,0.9367226039386862,0,0.0
40.0,0,0.0,0.0,13.224500919730248,0,0.0,0.9563658953366424,0,0.0
45.0,0,0.0,0.0,13.048621004370423,0,0.0,0.9429849196776062,0,0.0
50.0,0,0.0,0.0,11.81055560549762,0,0.0,0.8719894270801568,0,0.0
55.0,1,5.0,0.4166666666666667,11.862647217771249,1,5.0,0.8572870025357042,1,5.0
60.0,2,11.0,0.9166666666666666,9.170781885637025,2,11.0,0.6014471711819287,2,11.0
65.0,4,25.0,2.0833333333333335,8.2696712651596,4,25.0,0.3040457589465915,4,25.0
70.0,5,46.0,3.8333333333333335,7.239762893225886,5,46.0,0.06514043166388676,5,46.0
75.0,6,73.0,3.0416666666666665,10.080669262716215,6,73.0,0.6352671768936828,6,73.0
80.0,6,103.0,4.291666666666667,10.24934449348187,6,103.0,0.6465285291854374,6,103.0
85.0,6,133.0,5.541666666666667,10.198218653876056,6,133.0,0.6322755010843194,6,133.0
90.0,6,163.0,6.791666666666667,10.272913026259781,6,163.0,0.6385201236000708,6,163.0
95.0,2,71.0,2.9583333333333335,10.866063182569215,2,102.0,0.7717780060582857,2,102.0
100.0,2,81.0,3.375,12.092471763337196,2,81.0,0.8163285546399698,2,81.0
105.0,2,91.0,4.136363636363637,11.903777352139906,2,91.0,0.8117791342313606,2,91.0
110.0,2,101.0,4.590909090909091,11.986414993671191,2,101.0,0.8190552901897776,2,101.0
115.0,2,111.0,5.55,11.779549053059394,2,111.0,0.8152296266456138,2,111.0
120.0,2,121.0,6.05,11.740750667033222,2,121.0,0.8212442518845358,2,121.0
125.0,3,132.0,6.6,9.589136224674593,3,132.0,0.5950507747271488,3,132.0
130.0,6,156.0,8.666666666666666,8.063428150817586,6,156.0,0.37618750034341536,6,156.0
135.0,8,192.0,10.666666666666666,6.377033772797293,8,192.0,0.17013237976345483,8,192.0
140.0,7,210.0,11.666666666666666,6.414441159926138,7,210.0,0.10522747392007312,7,210.0
145.0,8,250.0,8.333333333333334,9.61624322337101,8,250.0,0.574203270010561,8,250.0
150.0,9,294.0,9.8,9.225996379406165,9,294.0,0.536696927749237,9,294.0
155.0,8,324.0,11.172413793103448,9.38121888809739,8,324.0,0.5733187291051169,8,324.0
160.0,8,364.0,13.481481481481481,9.269460447428541,8,364.0,0.5641062675903143,8,364.0
165.0,8,404.0,14.962962962962964,9.448520674683428,8,404.0,0.5750568858615634,8,404.0
170.0,8,444.0,17.076923076923077,9.33650871878782,8,444.0,0.574392169641436,8,444.0
175.0,4,181.0,6.961538461538462,10.021551269658175,4,249.0,0.6691767050368962,4,249.0
180.0,4,201.0,8.375,10.808593918563949,4,201.0,0.7105060032493993,4,201.0
185.0,4,221.0,9.608695652173912,10.864926195476498,4,221.0,0.7046115666499506,4,221.0
190.0,0,0.0,0.0,11.832193599963215,0,53.0,0.9039884655126591,0,53.0
195.0,0,0.0,0.0,12.632315933643543,0,0.0,0.8955822332814405,0,0.0
200.0,1,4.0,0.19047619047619047,10.372866237837373,1,4.0,0.6257894578329738,1,4.0
205.0,3,17.0,0.8095238095238095,9.995138425716418,3,17.0,0.5044703357073124,3,17.0
210.0,4,34.0,1.619047619047619,9.72305719661958,4,34.0,0.10270074020736038,4,34.0
215.0,6,61.0,2.9047619047619047,9.395772285175548,6,61.0,5.489344319288564e-05,6,61.0
220.0,4,55.0,1.6666666666666667,11.133495955252318,4,55.0,0.7014767917185791,4,55.0
225.0,4,75.0,2.4193548387096775,11.453454153576194,4,75.0,0.7144253392165395,4,75.0
230.0,4,95.0,3.064516129032258,11.456576132708184,4,95.0,0.7198134024066218,4,95.0
235.0,2,68.0,2.193548387096774,11.79285654853947,2,68.0,0.8164852562887418,2,68.0
240.0,2,78.0,2.6,12.113796883434038,2,78.0,0.8113211413849957,2,78.0
245.0,2,88.0,3.142857142857143,12.159230666482463,2,88.0,0.8277297234365398,2,88.0
250.0,2,98.0,3.92,12.070241142669936,2,98.0,0.8271650545542387,2,98.0
255.0,2,108.0,4.5,11.94932952245127,2,108.0,0.8164708238669991,2,108.0
260.0,2,118.0,5.619047619047619,11.620485239441308,2,118.0,0.8065536579191515,2,118.0
265.0,2,128.0,6.7368421052631575,11.489624842074404,2,128.0,0.811503191178522,2,128.0
270.0,3,141.0,7.421052631578948,9.264877796823376,3,141.0,0.6075859451743902,3,141.0
275.0,6,165.0,9.705882352941176,6.738724404883635,6,165.0,0.41269677079891515,6,165.0
280.0,8,190.0,11.176470588235293,4.986384775084941,8,190.0,0.09247490770180634,8,190.0
285.0,9,235.0,14.6875,5.356101836298743,9,235.0,0.09172344366568365,9,235.0
290.0,9,280.0,10.0,8.926587357073029,9,280.0,0.5692723419180433,9,280.0
295.0,5,243.0,8.678571428571429,9.21811805319427,5,256.0,0.6165792074228482,5,256.0
