step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.456523205670303,0,0.0,0.9138561795561052,0,0.0
10.0,0,0.0,0.0,13.048519965541168,0,0.0,0.9579908037458678,0,0.0
15.0,0,0.0,0.0,12.910647421672246,0,0.0,0.9459240871547497,0,0.0
20.0,0,0.0,0.0,13.001144184091212,0,0.0,0.9549458877748478,0,0.0
25.0,0,0.0,0.0,13.163589059156529,0,0.0,0.9682085667107582,0,0.0
30.0,0,0.0,0.0,12.946564149513696,0,0.0,0.9500701218911352,0,0.0
35.0,0,0.0,0.0,12.927342440727871,0,0.0,0.9489613006441088,0,0.0
40.0,0,0.0,0.0,13.001018936057582,0,0.0,0.9549030153951871,0,0.0
45.0,0,0.0,0.0,12.904995770846114,0,0.0,0.9470864347543215,0,0.0
50.0,0,0.0,0.0,12.322187496590109,0,0.0,0.9128391939994169,0,0.0
55.0,2,4.0,0.3333333333333333,8.598814726352106,2,4.0,0.6607553852083423,2,4.0
60.0,3,16.0,1.3333333333333333,7.938305563851049,3,16.0,0.5576884448510226,3,16.0
65.0,4,35.0,2.9166666666666665,7.218347369259292,4,35.0,0.3771408373661262,4,35.0
70.0,6,60.0,5.0,5.783930801942835,6,60.0,0.1704592777440901,6,60.0
75.0,6,90.0,3.75,9.405169182557,6,90.0,0.6437902879073768,6,90.0
80.0,6,120.0,5.0,9.476035199611468,6,120.0,0.6341359106486428,6,120.0
85.0,6,150.0,6.25,9.73526945169174,6,150.0,0.6405192840747129,6,150.0
90.0,2,67.0,2.7916666666666665,10.4953427016501,2,108.0,0.7517653319798129,2,108.0
95.0,2,77.0,3.2083333333333335,11.639765331850349,2,77.0,0.8127483116168946,2,77.0
100.0,2,87.0,3.625,11.799311600256063,2,87.0,0.8171865693513507,2,87.0
105.0,2,97.0,4.041666666666667,11.79640365379278,2,97.0,0.8167660046381874,2,97.0
110.0,2,107.0,4.863636363636363,11.59026240555316,2,107.0,0.8210526788789815,2,107.0
115.0,2,117.0,5.318181818181818,11.476542301719421,2,117.0,0.810042747875859,2,117.0
120.0,2,127.0,6.0476190476190474,11.350278742601997,2,127.0,0.8138084123114985,2,127.0
125.0,2,137.0,6.523809523809524,10.576804847750598,2,137.0,0.7060480173916706,2,137.0
130.0,5,155.0,7.75,7.929756665677944,5,155.0,0.4410212670361904,5,155.0
135.0,8,187.0,9.35,7.280312205497003,8,187.0,0.3126301419022058,8,187.0
140.0,6,196.0,9.8,7.19494200699612,6,196.0,0.18115389096655812,6,196.0
145.0,6,226.0,7.793103448275862,9.925953212100389,6,226.0,0.5919934824366303,6,226.0
150.0,7,260.0,8.96551724137931,10.034938553139936,7,260.0,0.6040366529611593,7,260.0
155.0,6,279.0,9.620689655172415,10.03466406659046,6,279.0,0.6321133218032494,6,279.0
160.0,6,309.0,11.444444444444445,10.361095567944833,6,309.0,0.6337709946666615,6,309.0
165.0,6,339.0,13.038461538461538,10.355508895711402,6,339.0,0.6351300416363795,6,339.0
170.0,6,369.0,14.192307692307692,10.291640425227245,6,369.0,0.6332785876954439,6,369.0
175.0,2,77.0,2.9615384615384617,11.0300357701602,2,158.0,0.741876752659842,2,158.0
180.0,2,87.0,3.48,12.095166769377117,2,87.0,0.8039360828509837,2,87.0
185.0,2,97.0,3.88,12.22160741962938,2,97.0,0.8085408021869834,2,97.0
190.0,0,0.0,0.0,12.781648614721773,0,0.0,0.9616157691763659,0,0.0
195.0,0,0.0,0.0,12.83003011123384,0,0.0,0.9022319686368512,0,0.0
200.0,3,4.0,0.18181818181818182,9.755192000451457,3,4.0,0.5211441867194375,3,4.0
205.0,6,21.0,1.05,7.619467814829093,6,21.0,0.18687510259183326,6,21.0
210.0,8,58.0,2.9,7.245207345592672,8,58.0,0.0020965321602120102,8,58.0
215.0,9,103.0,5.421052631578948,7.071149844528459,9,103.0,0.0,9,103.0
220.0,9,148.0,4.933333333333334,9.575292369562288,9,148.0,0.5513526941882557,9,148.0
225.0,8,171.0,5.7,9.765609099257668,8,171.0,0.5762373574152633,8,171.0
230.0,8,211.0,7.275862068965517,9.760731234741218,8,211.0,0.5695619842358115,8,211.0
235.0,8,251.0,8.655172413793103,9.72575927831905,8,251.0,0.570665472617572,8,251.0
240.0,4,146.0,5.615384615384615,10.263781176877284,4,146.0,0.7125854090581766,4,146.0
245.0,4,166.0,6.64,11.382867444119348,4,166.0,0.7223744474427086,4,166.0
250.0,4,186.0,7.44,11.28604871569085,4,186.0,0.7157298478206091,4,186.0
255.0,4,206.0,8.24,11.270774115944981,4,206.0,0.7085917003172915,4,206.0
260.0,4,226.0,9.826086956521738,11.08645969842744,4,226.0,0.7119155958162975,4,226.0
265.0,4,246.0,11.714285714285714,9.97942292076631,4,246.0,0.6392776756359195,4,246.0
270.0,5,268.0,12.761904761904763,8.947903921383332,5,268.0,0.5668063643601672,5,268.0
275.0,9,302.0,14.380952380952381,6.118502080585748,9,302.0,0.1917145184099081,9,302.0
280.0,12,359.0,17.095238095238095,5.680602209054456,12,359.0,0.13087021797098236,12,359.0
285.0,9,388.0,19.4,5.260524781192059,9,388.0,0.028072161694623718,9,388.0
290.0,10,437.0,13.65625,8.98474230172818,10,437.0,0.5146243378509078,10,437.0
295.0,10,487.0,15.709677419354838,8.881225528520579,10,487.0,0.5266000488701431,10,487.0
300.0,8,489.0,16.862068965517242,8.989202825847832,8,489.0,0.5718096535549682,8,489.0
305.0,8,529.0,18.24137931034483,9.397444589926359,8,529.0,0.5737143159446351,8,529.0
310.0,8,569.0,20.321428571428573,9.378122741889344,8,569.0,0.569781941851342,8,569.0
315.0,8,609.0,21.75,9.372066433456496,8,609.0,0.572228682956626,8,609.0
320.0,8,649.0,24.037037037037038,8.958134264690926,8,649.0,0.5653153814599656,8,649.0
325.0,8,689.0,25.51851851851852,9.04600988989491,8,689.0,0.5692451896586,8,689.0
330.0,8,729.0,27.0,9.078185422403449,8,729.0,0.5660288278443326,8,729.0
335.0,8,769.0,29.576923076923077,8.564721073993512,8,769.0,0.5430727834649136,8,769.0
340.0,10,812.0,31.23076923076923,7.606296033350986,10,812.0,0.4666815621966438,10,812.0
345.0,9,856.0,37.21739130434783,6.546604934285663,9,856.0,0.44585769546495824,9,856.0
350.0,12,908.0,39.47826086956522,4.96127995400818,12,908.0,0.2395882441757536,12,908.0
355.0,14,976.0,44.36363636363637,4.474950168650467,14,976.0,0.20702357583516548,14,976.0
360.0,7,61.0,2.9047619047619047,4.632342395172337,7,542.0,0.12476962805814129,7,542.0
365.0,6,77.0,2.40625,9.749513707841423,6,88.0,0.6176880133981251,6,88.0
370.0,6,107.0,3.34375,10.758164066504564,6,107.0,0.6378085475030723,6,107.0
375.0,2,54.0,1.6875,11.627523240750188,2,64.0,0.7935382869198631,2,64.0
380.0,2,64.0,2.0,12.407209770203401,2,64.0,0.8124543356629798,2,64.0
385.0,2,74.0,2.3125,12.628999135320903,2,74.0,0.8312017187220714,2,74.0
390.0,2,84.0,2.625,12.450303395763548,2,84.0,0.8187837509190812,2,84.0
395.0,2,94.0,3.032258064516129,12.389850828471827,2,94.0,0.8225669866381337,2,94.0
400.0,2,104.0,3.3548387096774195,12.328418580128663,2,104.0,0.821000060764861,2,104.0
